first_name,last_name,round,teetime,pos,round1.topar,topar,total,round1.total,hole01,hole02,hole03,hole04,hole05,hole06,hole07,hole08,hole09,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,round2.topar,round2.total,round3.topar,round3.total,round4.topar,round4.total
Kevin,O'Connell,2,NA,NA,NA,+4,148,NA,5,6,4,3,3,3,3,4,4,6,4,2,4,5,3,3,4,5,NA,71,NA,NA,NA,NA
Danny,Willett,2,NA,NA,NA,+4,148,NA,4,4,5,3,5,4,3,5,5,4,4,3,4,3,5,3,4,5,NA,73,NA,NA,NA,NA
Sergio,Garcia,2,NA,NA,NA,+4,148,NA,4,5,5,3,5,3,4,5,4,5,4,3,4,5,4,3,4,5,NA,75,NA,NA,NA,NA
Adam,Long,2,NA,NA,NA,+5,149,NA,4,7,4,3,4,3,4,5,4,5,4,3,4,4,5,4,3,4,NA,74,NA,NA,NA,NA
Brandt,Snedeker,2,NA,NA,NA,+5,149,NA,4,5,3,3,5,2,4,5,4,4,4,3,5,6,4,3,5,5,NA,74,NA,NA,NA,NA
Fred,Couples,2,NA,NA,NA,+5,149,NA,4,5,3,3,4,3,5,5,3,4,4,4,4,4,5,3,4,4,NA,71,NA,NA,NA,NA
Charl,Schwartzel,2,NA,NA,NA,+5,149,NA,5,4,4,4,5,3,4,5,4,4,4,3,4,4,4,3,4,4,NA,72,NA,NA,NA,NA
Shugo,Imahira,2,NA,NA,NA,+6,150,NA,3,5,4,3,5,3,4,5,4,5,4,4,4,5,5,3,4,4,NA,74,NA,NA,NA,NA
Larry,Mize,2,NA,NA,NA,+7,151,NA,5,5,4,3,4,3,4,5,4,5,4,3,4,4,5,3,5,4,NA,74,NA,NA,NA,NA
Shane,Lowry,2,NA,NA,NA,+7,151,NA,4,5,4,3,5,3,5,5,4,5,4,3,4,4,6,2,3,4,NA,73,NA,NA,NA,NA
Matt,Wallace,2,NA,NA,NA,+8,152,NA,5,4,4,3,4,3,4,4,5,5,6,3,5,5,5,3,4,5,NA,77,NA,NA,NA,NA
Jovan,Rebula,2,NA,NA,NA,+8,152,NA,4,5,3,3,5,3,4,5,4,4,6,5,5,6,4,3,4,6,NA,79,NA,NA,NA,NA
Michael,Kim,2,NA,NA,NA,+10,154,NA,4,5,3,3,4,3,4,6,4,4,5,3,7,5,4,3,5,6,NA,78,NA,NA,NA,NA
Paul,Casey,2,NA,NA,NA,+10,154,NA,4,5,4,3,4,3,4,5,4,4,4,4,4,5,5,3,3,5,NA,73,NA,NA,NA,NA
Vijay,Singh,2,NA,NA,NA,+12,156,NA,4,5,4,3,5,3,4,5,6,5,5,3,5,3,5,3,4,4,NA,76,NA,NA,NA,NA
Ian,Woosnam,2,NA,NA,NA,+12,156,NA,5,4,4,4,5,3,3,5,4,5,5,3,5,5,4,3,4,5,NA,76,NA,NA,NA,NA
Jose Maria,Olazabal,2,NA,NA,NA,+13,157,NA,5,6,5,3,5,3,5,5,5,4,4,3,6,4,4,3,4,5,NA,79,NA,NA,NA,NA
Angel,Cabrera,2,NA,NA,NA,+13,157,NA,5,5,4,3,5,2,4,4,5,4,5,3,6,4,5,3,4,4,NA,75,NA,NA,NA,NA
Tiger,Woods,3,9:20 AM,1,NA,-13,275,NA,4,5,4,3,5,2,3,4,4,4,4,3,4,4,4,2,4,4,NA,NA,-2,67,NA,NA
Dustin,Johnson,3,8:47 AM,T2,NA,-12,276,NA,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,5,NA,NA,-4,70,NA,NA
Xander,Schauffele,3,8:58 AM,T2,NA,-12,276,NA,4,4,3,3,4,2,5,4,4,4,4,3,4,4,6,3,4,5,NA,NA,-4,70,NA,NA
Brooks,Koepka,3,9:09 AM,T2,NA,-12,276,NA,5,4,3,3,5,2,5,4,4,4,4,3,4,5,3,3,4,4,NA,NA,-2,69,NA,NA
Jason,Day,3,8:14 AM,T5,NA,-11,277,NA,4,5,4,3,4,2,5,5,4,4,4,2,5,3,7,3,4,5,NA,NA,-5,73,NA,NA
Webb,Simpson,3,9:09 AM,T5,NA,-11,277,NA,4,4,4,3,4,4,3,4,3,3,4,3,3,3,5,2,4,4,NA,NA,-2,64,NA,NA
Francesco,Molinari,3,9:20 AM,T5,NA,-11,277,NA,4,5,4,3,4,2,4,4,4,4,4,2,4,3,4,3,4,4,NA,NA,+2,66,NA,NA
Tony,Finau,3,9:20 AM,T5,NA,-11,277,NA,3,4,3,3,4,2,4,3,4,4,4,3,4,4,4,3,4,4,NA,NA,E,64,NA,NA
Jon,Rahm,3,8:25 AM,T9,NA,-10,278,NA,4,5,4,4,4,3,4,5,4,4,4,3,3,4,4,3,4,5,NA,NA,-4,71,NA,NA
Patrick,Cantlay,3,8:36 AM,T9,NA,-10,278,NA,3,5,4,2,4,2,4,5,3,4,3,3,5,3,4,3,3,4,NA,NA,-4,64,NA,NA
Rickie,Fowler,3,8:47 AM,T9,NA,-10,278,NA,5,4,3,2,4,3,4,4,4,5,4,3,3,4,4,3,4,5,NA,NA,-3,68,NA,NA
